bloom_month,flower,family,count
January 2024,Camellia,Theaceae,12
January 2024,Snowdrop,Amaryllidaceae,340
January 2024,Winter Aconite,Ranunculaceae,87
January 2024,Hellebore,Ranunculaceae,23
January 2024,Witch Hazel,Hamamelidaceae,5
February 2024,Snowdrop,Amaryllidaceae,510
February 2024,Crocus,Iridaceae,280
February 2024,Camellia,Theaceae,18
February 2024,Hellebore,Ranunculaceae,41
February 2024,Winter Jasmine,Oleaceae,34
February 2024,Daphne,Thymelaeaceae,9
March 2024,Daffodil,Amaryllidaceae,620
March 2024,Magnolia,Magnoliaceae,47
March 2024,Cherry Blossom,Rosaceae,310
March 2024,Crocus,Iridaceae,490
March 2024,Forsythia,Oleaceae,62
March 2024,Hyacinth,Asparagaceae,145
March 2024,Primrose,Primulaceae,203
March 2024,Anemone,Ranunculaceae,88
April 2024,Tulip,Liliaceae,780
April 2024,Daffodil,Amaryllidaceae,430
April 2024,Cherry Blossom,Rosaceae,215
April 2024,Wisteria,Fabaceae,28
April 2024,Iris,Iridaceae,167
April 2024,Bluebell,Asparagaceae,540
April 2024,Lilac,Oleaceae,74
April 2024,Magnolia,Magnoliaceae,31
April 2024,Primrose,Primulaceae,118
May 2024,Rose,Rosaceae,295
May 2024,Tulip,Liliaceae,410
May 2024,Peony,Paeoniaceae,56
May 2024,Iris,Iridaceae,244
May 2024,Wisteria,Fabaceae,19
May 2024,Allium,Amaryllidaceae,132
May 2024,Foxglove,Plantaginaceae,77
May 2024,Poppy,Papaveraceae,183
May 2024,Lilac,Oleaceae,48
May 2024,Rhododendron,Ericaceae,92
June 2024,Rose,Rosaceae,460
June 2024,Lavender,Lamiaceae,310
June 2024,Lily,Liliaceae,198
June 2024,Hydrangea,Hydrangeaceae,143
June 2024,Foxglove,Plantaginaceae,95
June 2024,Poppy,Papaveraceae,221
June 2024,Peony,Paeoniaceae,38
June 2024,Marigold,Asteraceae,267
June 2024,Zinnia,Asteraceae,174
June 2024,Delphinium,Ranunculaceae,61
July 2024,Sunflower,Asteraceae,388
July 2024,Lavender,Lamiaceae,475
July 2024,Lily,Liliaceae,312
July 2024,Dahlia,Asteraceae,204
July 2024,Cosmos,Asteraceae,156
July 2024,Marigold,Asteraceae,341
July 2024,Zinnia,Asteraceae,289
July 2024,Rose,Rosaceae,520
July 2024,Hydrangea,Hydrangeaceae,187
July 2024,Echinacea,Asteraceae,113
August 2024,Sunflower,Asteraceae,502
August 2024,Dahlia,Asteraceae,376
August 2024,Cosmos,Asteraceae,248
August 2024,Marigold,Asteraceae,414
August 2024,Zinnia,Asteraceae,331
August 2024,Gladiolus,Iridaceae,159
August 2024,Echinacea,Asteraceae,207
August 2024,Hydrangea,Hydrangeaceae,143
August 2024,Rose,Rosaceae,488
August 2024,Helenium,Asteraceae,96
September 2024,Aster,Asteraceae,273
September 2024,Dahlia,Asteraceae,318
September 2024,Cosmos,Asteraceae,190
September 2024,Chrysanthemum,Asteraceae,421
September 2024,Gladiolus,Iridaceae,84
September 2024,Sedum,Crassulaceae,67
September 2024,Helenium,Asteraceae,112
September 2024,Rose,Rosaceae,301
October 2024,Chrysanthemum,Asteraceae,534
October 2024,Aster,Asteraceae,198
October 2024,Dahlia,Asteraceae,143
October 2024,Sedum,Crassulaceae,89
October 2024,Witch Hazel,Hamamelidaceae,7
October 2024,Cyclamen,Primulaceae,54
November 2024,Chrysanthemum,Asteraceae,287
November 2024,Cyclamen,Primulaceae,76
November 2024,Camellia,Theaceae,21
November 2024,Hellebore,Ranunculaceae,14
December 2024,Hellebore,Ranunculaceae,19
December 2024,Camellia,Theaceae,16
December 2024,Winter Aconite,Ranunculaceae,43
December 2024,Cyclamen,Primulaceae,38
December 2024,Witch Hazel,Hamamelidaceae,6
